rssd9001,rssd9017,quarters,mean_L_it,max_L_it,mean_assets_bn,mean_cap_ratio,first_quarter,last_quarter
541101,"BANK OF NEW YORK, THE",14,2.154616,2.154616,98.206071,0.087895,2005-03-31,2008-06-30
934329,"MELLON BANK, N.A.",14,2.154616,2.154616,29.420686,0.086919,2005-03-31,2008-06-30
925411,SUMITOMO MITSUI TRUST BANK (U.S.A.) LIMITED,34,2.104780,2.154616,2.687215,0.106863,2012-06-30,2021-03-31
35301,STATE STREET BANK AND TRUST COMPANY,149,1.430664,2.154616,256.232299,0.088492,2005-03-31,2023-12-31
541101,"BANK OF NEW YORK MELLON, THE",96,1.421331,1.881035,304.761333,0.079051,2008-12-31,2023-12-31
210434,"NORTHERN TRUST COMPANY, THE",131,1.100625,2.154616,127.198429,0.069956,2005-03-31,2023-12-31
911807,INVESTORS BANK & TRUST COMPANY,10,0.664011,0.925161,12.882461,0.067243,2005-03-31,2007-06-30
968605,BANK OF TOKYO-MITSUBISHI TRUST COMPANY,3,0.643904,0.698358,4.554031,0.172943,2005-03-31,2005-12-31
1444021,"BARCLAYS GLOBAL INVESTORS, NATIONAL ASSOCIATION",19,0.537855,1.025004,1.522100,0.461932,2005-03-31,2009-09-30
925411,SUMITOMO TRUST & BANKING CO. (U.S.A.),26,0.424189,1.336097,0.852372,0.150738,2005-03-31,2012-03-31
968605,BANK OF TOKYO-MITSUBISHI UFJ TRUST COMPANY,24,0.388355,1.312819,3.724255,0.232858,2006-03-31,2011-12-31
229913,MIZUHO CORPORATE BANK (USA),34,0.233625,0.378318,3.285238,0.317062,2005-03-31,2013-06-30
852218,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",249,0.167297,0.432724,2979.168329,0.087957,2005-03-31,2023-12-31
2182786,GOLDMAN SACHS BANK USA,132,0.167211,0.525030,381.115712,0.122082,2009-12-31,2023-12-31
484422,"WACHOVIA BANK, NATIONAL ASSOCIATION",20,0.155468,0.207047,547.907200,0.105886,2005-03-31,2009-12-31
395238,COLUMBUS BANK AND TRUST COMPANY,21,0.151727,0.242741,6.165623,0.164935,2005-03-31,2010-03-31
44134,FIRST COMMERCIAL BANK,20,0.132858,0.180697,1.931207,0.100092,2005-03-31,2010-03-31
476810,"CITIBANK, N.A.",295,0.125836,0.210660,1608.145729,0.097016,2005-03-31,2023-12-31
212465,"UNION BANK OF CALIFORNIA, NATIONAL ASSOCIATION",15,0.124575,0.135326,53.028490,0.086387,2005-03-31,2008-09-30
60143,COMERICA BANK,90,0.123395,0.220550,72.263185,0.092208,2005-03-31,2023-12-31
229913,MIZUHO BANK (USA),77,0.119793,0.264407,6.623448,0.197457,2013-09-30,2023-12-31
75633,HARRIS TRUST AND SAVINGS BANK,1,0.113675,0.113675,22.261172,0.073942,2005-03-31,2005-03-31
455534,LASALLE BANK NATIONAL ASSOCIATION,15,0.102234,0.114655,71.721103,0.122177,2005-03-31,2008-09-30
682563,"FROST NATIONAL BANK, THE",6,0.101212,0.124642,16.987039,0.122976,2009-09-30,2010-12-31
212465,"UNION BANK, NATIONAL ASSOCIATION",23,0.100666,0.118535,87.804311,0.120260,2008-12-31,2014-06-30
280110,KEYBANK NATIONAL ASSOCIATION,109,0.096168,0.376042,141.261032,0.090010,2005-03-31,2023-12-31
1456501,"MORGAN STANLEY BANK, N.A.",37,0.094870,0.214299,185.720919,0.103323,2018-06-30,2023-12-31
212465,"MUFG UNION BANK, NATIONAL ASSOCIATION",35,0.087250,0.118420,122.763621,0.128887,2014-09-30,2023-03-31
339858,"BANK OF OKLAHOMA, NATIONAL ASSOCIATION",23,0.081341,0.119646,15.101836,0.064886,2005-03-31,2010-12-31
75633,BMO HARRIS BANK NATIONAL ASSOCIATION,89,0.075345,0.212604,161.105996,0.120461,2011-12-31,2023-06-30
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION",96,0.067579,0.110131,1355.862948,0.096431,2005-03-31,2023-12-31
933957,"VECTRA BANK COLORADO, NATIONAL ASSOCIATION",15,0.062558,0.081576,2.443689,0.107842,2008-06-30,2011-12-31
391575,"UNITED FIDELITY BANK, FSB",31,0.061163,0.128119,5.509148,0.083057,2021-06-30,2023-12-31
675332,SUNTRUST BANK,59,0.060706,0.106914,180.658900,0.116514,2005-03-31,2019-09-30
75633,HARRIS NATIONAL ASSOCIATION,25,0.055975,0.067294,43.388432,0.088668,2005-06-30,2011-06-30
504713,U.S. BANK NATIONAL ASSOCIATION,132,0.054867,0.136702,483.701345,0.090346,2005-03-31,2023-12-31
245333,AMSOUTH BANK,7,0.053867,0.057325,52.173103,0.074552,2005-03-31,2006-09-30
723112,FIFTH THIRD BANK,58,0.050729,0.105537,108.203459,0.116280,2005-03-31,2019-09-30
76201,FLEET NATIONAL BANK,1,0.049589,0.049589,213.056075,0.204741,2005-03-31,2005-03-31
802866,SILICON VALLEY BANK,69,0.049210,0.126178,50.442162,0.077613,2005-03-31,2022-12-31
413208,"HSBC BANK USA, NATIONAL ASSOCIATION",111,0.048536,0.124857,175.613006,0.099796,2005-03-31,2023-12-31
480228,"BANK OF AMERICA, NATIONAL ASSOCIATION",468,0.045757,0.085434,2337.224967,0.095708,2005-03-31,2023-12-31
214807,DEUTSCHE BANK TRUST COMPANY AMERICAS,44,0.043873,0.067748,46.044545,0.191989,2005-03-31,2015-12-31
983448,M&I MARSHALL & ILSLEY BANK,26,0.043295,0.050957,48.557083,0.092343,2005-03-31,2011-06-30
2193616,"RAYMOND JAMES BANK, NATIONAL ASSOCIATION",37,0.042595,0.063864,18.733912,0.093588,2012-03-31,2021-03-31
197478,EAST WEST BANK,88,0.041217,0.059194,41.848675,0.101097,2007-03-31,2023-12-31
817824,"PNC BANK, NATIONAL ASSOCIATION",131,0.039861,0.167961,411.938008,0.093623,2005-03-31,2023-12-31
485559,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,37,0.038432,0.070358,26.828062,0.119576,2007-12-31,2016-12-31
320119,ISRAEL DISCOUNT BANK OF NEW YORK,43,0.037140,0.051683,9.370319,0.072951,2005-03-31,2015-12-31
42541,NATIONAL CITY BANK OF THE MIDWEST,5,0.036097,0.037663,24.747924,0.101777,2005-03-31,2006-06-30
3303298,"RBS CITIZENS, NATIONAL ASSOCIATION",26,0.035927,0.040563,113.526573,0.152702,2007-12-31,2014-03-31
852320,BRANCH BANKING AND TRUST COMPANY,59,0.035539,0.053799,165.131281,0.113923,2005-03-31,2019-09-30
101019,BANK LEUMI USA,68,0.035190,0.064262,6.147370,0.096533,2005-03-31,2022-03-31
3041974,CITIZENS BANK OF PENNSYLVANIA,53,0.034702,0.064861,34.346027,0.123945,2005-12-31,2018-12-31
259518,NATIONAL CITY BANK,17,0.034515,0.037601,120.287833,0.100837,2005-03-31,2009-09-30
873138,WHITNEY NATIONAL BANK,24,0.034266,0.040620,10.870133,0.108445,2005-03-31,2011-03-31
722777,"SOVEREIGN BANK, NATIONAL ASSOCIATION",7,0.033860,0.037328,79.524599,0.161204,2012-03-31,2013-09-30
497404,"TD BANK, N.A.",82,0.033761,0.050193,300.440803,0.128302,2008-09-30,2023-12-31
58243,JOHNSON BANK,28,0.031881,0.056205,4.419921,0.070570,2005-03-31,2011-12-31
501105,MANUFACTURERS AND TRADERS TRUST COMPANY,111,0.031567,0.066556,135.576602,0.120960,2005-03-31,2023-12-31
445843,STANDARD FEDERAL BANK NATIONAL ASSOCIATION,2,0.030956,0.031908,38.610444,0.165717,2005-03-31,2005-06-30
1494240,RBC CENTURA BANK,12,0.030393,0.037184,22.675969,0.158987,2005-03-31,2008-03-31
837260,CALIFORNIA BANK & TRUST,28,0.030193,0.038521,10.650566,0.115680,2005-03-31,2011-12-31
374149,NATIONAL CITY BANK OF KENTUCKY,5,0.030131,0.034894,9.447416,0.070232,2005-03-31,2006-06-30
676656,"AMEGY BANK, NATIONAL ASSOCIATION",43,0.029658,0.045933,11.591219,0.174515,2005-03-31,2015-09-30
14409,CITIZENS BANK OF MASSACHUSETTS,9,0.029248,0.032218,34.825068,0.117094,2005-03-31,2007-06-30
233031,REGIONS BANK,109,0.028821,0.061270,136.162891,0.118246,2005-03-31,2023-12-31
112837,HIBERNIA NATIONAL BANK,4,0.028668,0.036443,26.057255,0.138662,2005-03-31,2006-03-31
697633,COMPASS BANK,48,0.028395,0.042948,61.525366,0.156877,2005-03-31,2016-12-31
471945,"BANK CALUMET, NATIONAL ASSOCIATION",4,0.028207,0.030425,1.141779,0.098507,2005-06-30,2006-03-31
816210,BANCO SANTANDER PUERTO RICO,1,0.027965,0.027965,8.335185,0.066224,2005-03-31,2005-03-31
2618780,"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION",43,0.026319,0.050411,7.939659,0.087757,2005-03-31,2015-12-31
3402913,BANESCO USA,71,0.026154,0.078695,2.115474,0.100774,2011-09-30,2023-12-31
379920,FIRST NATIONAL BANK OF PENNSYLVANIA,5,0.026060,0.029491,9.459631,0.126325,2010-12-31,2011-12-31
339858,"BOKF, NATIONAL ASSOCIATION",16,0.025727,0.030837,26.551615,0.091592,2011-03-31,2014-12-31
178020,NATIONAL CITY BANK OF PENNSYLVANIA,5,0.025485,0.026967,14.731183,0.055194,2005-03-31,2006-06-30
665931,NORTHERN TRUST BANK OF FLORIDA N.A.,5,0.025355,0.028223,5.124473,0.081415,2005-03-31,2006-06-30
53033,MELLON UNITED NATIONAL BANK,7,0.024885,0.027865,2.436712,0.177525,2005-03-31,2006-12-31
1464122,WHITNEY BANK,11,0.024413,0.028468,13.257367,0.135928,2011-06-30,2013-12-31
722777,"SANTANDER BANK, NATIONAL ASSOCIATION",41,0.023663,0.040750,86.447653,0.150170,2013-12-31,2023-12-31
445843,LASALLE BANK MIDWEST NATIONAL ASSOCIATION,13,0.023566,0.028704,40.408903,0.154100,2005-09-30,2008-09-30
63069,CITY NATIONAL BANK,111,0.023071,0.059250,58.322525,0.090218,2005-03-31,2023-12-31
40305,CHITTENDEN TRUST COMPANY,9,0.023041,0.025902,3.371246,0.074502,2005-12-31,2007-12-31
2950677,CIT BANK,13,0.023026,0.033623,16.282107,0.165979,2012-06-30,2015-06-30
491224,FIRST-CITIZENS BANK & TRUST COMPANY,42,0.023018,0.026884,185.574024,0.094861,2022-03-31,2023-12-31
637451,PLAINSCAPITAL BANK,27,0.022385,0.056395,3.867242,0.101409,2005-03-31,2011-12-31
497404,"TD BANK, NATIONAL ASSOCIATION",32,0.022236,0.025598,389.079404,0.113783,2022-03-31,2023-12-31
665931,"NORTHERN TRUST, NATIONAL ASSOCIATION",21,0.022042,0.028186,11.456739,0.089002,2006-09-30,2011-09-30
463735,HANCOCK BANK,1,0.020875,0.020875,18.888187,0.128799,2014-03-31,2014-03-31
1494240,RBC BANK (USA),15,0.020701,0.026830,28.373165,0.132527,2008-06-30,2011-12-31
1225800,MERRILL LYNCH BANK USA,4,0.020270,0.022371,64.172071,0.091593,2008-09-30,2009-06-30
917742,"ASSOCIATED BANK, NATIONAL ASSOCIATION",39,0.019806,0.048604,27.778926,0.117205,2009-12-31,2020-12-31
276579,"ZB, NATIONAL ASSOCIATION",4,0.019726,0.025935,60.417827,0.125178,2016-03-31,2016-12-31
2333412,"UNITED STATES TRUST COMPANY, NATIONAL ASSOCIATION",8,0.018995,0.023626,11.298445,0.158105,2006-03-31,2007-12-31
846262,"NORTHERN TRUST BANK OF CALIFORNIA, NATIONAL ASSOCIATION",6,0.018533,0.023571,1.477276,0.095382,2005-03-31,2006-09-30
64619,STERLING NATIONAL BANK,31,0.018309,0.042253,2.158015,0.070703,2005-03-31,2012-12-31
112837,"CAPITAL ONE, NATIONAL ASSOCIATION",76,0.018196,0.034720,261.927333,0.144510,2006-06-30,2023-12-31
272218,WILMINGTON TRUST COMPANY,15,0.017967,0.024548,9.820166,0.085209,2005-03-31,2008-12-31
463735,WHITNEY BANK,7,0.017899,0.021597,20.859552,0.119505,2014-06-30,2015-12-31
423355,"UNION PLANTERS BANK, NATIONAL ASSOCIATION",1,0.017776,0.017776,34.722095,0.189902,2005-03-31,2005-03-31
697633,BBVA USA,3,0.017526,0.022993,94.997638,0.110938,2021-03-31,2021-09-30
3303298,"CITIZENS BANK, NATIONAL ASSOCIATION",94,0.017310,0.038946,182.283854,0.121761,2006-03-31,2023-12-31
362445,NATIONAL CITY BANK OF INDIANA,5,0.017099,0.020488,27.069661,0.101092,2005-03-31,2006-06-30
1198641,"COMMERCE BANK OF WASHINGTON, NATIONAL ASSOCIATION, THE",15,0.016741,0.022657,0.855141,0.095680,2008-06-30,2011-12-31
2489805,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",16,0.016342,0.048700,162.730063,0.076422,2020-03-31,2023-12-31
804963,BANK OF THE WEST,71,0.016226,0.023267,73.660145,0.153330,2005-03-31,2022-12-31
75633,BMO BANK NATIONAL ASSOCIATION,35,0.015955,0.016496,264.572079,0.123403,2023-09-30,2023-12-31
342634,TRUSTMARK NATIONAL BANK,30,0.015904,0.019170,9.604849,0.120765,2006-09-30,2013-12-31
2736219,"TRANSPORTATION ALLIANCE BANK, INC.",8,0.015466,0.023428,0.508548,0.131182,2008-12-31,2010-09-30
497404,"TD BANKNORTH, NATIONAL ASSOCIATION",8,0.014584,0.020255,42.147295,0.214456,2006-06-30,2008-03-31
163473,CITIZENS FINANCIAL BANK,2,0.014328,0.014790,1.128507,0.096762,2012-09-30,2012-12-31
276579,ZIONS FIRST NATIONAL BANK,40,0.014141,0.023033,16.883946,0.085240,2005-03-31,2014-12-31
747435,"REPUBLIC FEDERAL BANK, N.A.",4,0.013742,0.017500,0.659795,0.080600,2007-03-31,2007-12-31
783648,CENTIER BANK,35,0.013375,0.020073,1.927741,0.083640,2005-03-31,2013-12-31
56557,COBIZ BANK,18,0.012706,0.019982,2.412558,0.090146,2007-09-30,2011-12-31
936855,"UMB BANK, NATIONAL ASSOCIATION",26,0.012174,0.020668,39.969416,0.070977,2021-03-31,2023-12-31
918918,SAFRA NATIONAL BANK OF NEW YORK,90,0.012002,0.039777,6.997273,0.108747,2005-03-31,2023-12-31
980353,NORTHERN TRUST BANK OF TEXAS N.A.,5,0.011569,0.015264,1.026570,0.096081,2005-06-30,2006-06-30
852320,TRUIST BANK,160,0.011449,0.048296,540.813281,0.112205,2020-03-31,2023-12-31
310727,CAROLINA FIRST BANK,20,0.011024,0.016073,11.203228,0.098422,2005-03-31,2010-06-30
606046,BANCORPSOUTH BANK,11,0.010882,0.012534,13.333343,0.103667,2009-06-30,2011-12-31
2736219,"TRANSPORTATION ALLIANCE BANK, INC. DBA TAB BANK",5,0.010525,0.012947,0.598506,0.129795,2010-12-31,2011-12-31
2333412,UNITED STATES TRUST COMPANY OF NEW YORK,3,0.010488,0.016221,7.278440,0.060452,2005-03-31,2005-12-31
3918898,"CIT BANK, NATIONAL ASSOCIATION",6,0.010368,0.013381,43.305456,0.126245,2015-09-30,2016-12-31
171133,EASTERN NATIONAL BANK,64,0.010051,0.026517,0.409300,0.097792,2005-03-31,2021-06-30
747435,"HEMISPHERE NATIONAL BANK, THE",6,0.009961,0.013348,0.412165,0.107055,2005-06-30,2006-12-31
761806,"WEBSTER BANK, NATIONAL ASSOCIATION",78,0.009936,0.022490,28.701172,0.105478,2005-03-31,2022-12-31
595869,CATHAY BANK,74,0.009797,0.020943,15.266268,0.129720,2007-06-30,2023-12-31
980661,FIRST HAWAIIAN BANK,97,0.009776,0.026269,19.324647,0.136687,2005-03-31,2023-12-31
1866726,"PINEBANK, NATIONAL ASSOCIATION",6,0.009272,0.013135,0.417459,0.084357,2005-03-31,2006-06-30
395238,SYNOVUS BANK,10,0.009253,0.012165,27.577963,0.111909,2010-09-30,2012-12-31
838632,EAGLE NATIONAL BANK OF MIAMI,1,0.009177,0.009177,0.351965,0.098622,2008-12-31,2008-12-31
790534,TOTALBANK,4,0.009140,0.010674,0.857534,0.100658,2005-03-31,2005-12-31
661308,AMALGAMATED BANK,43,0.008954,0.016199,4.199646,0.062949,2005-06-30,2015-12-31
897273,"CHARTER ONE BANK, NATIONAL ASSOCIATION",7,0.008887,0.014949,45.141559,0.175075,2005-12-31,2007-06-30
656733,"MB FINANCIAL BANK, NATIONAL ASSOCIATION",55,0.008727,0.012441,11.728205,0.134498,2005-03-31,2019-03-31
128511,MITSUBISHI UFJ TRUST & BANKING CORPORATION (U.S.A.),7,0.008240,0.032694,0.394829,0.537493,2005-12-31,2013-09-30
43173,UNITED COMMERCIAL BANK,19,0.008085,0.014744,10.348204,0.096783,2005-03-31,2009-09-30
729132,ESPIRITO SANTO BANK,42,0.007986,0.024293,0.553899,0.079645,2005-03-31,2015-06-30
245016,HABIB AMERICAN BANK,81,0.007974,0.026007,1.234211,0.096072,2005-06-30,2023-12-31
570231,"COLONIAL BANK, NATIONAL ASSOCIATION",13,0.007916,0.009021,22.917634,0.094550,2005-03-31,2008-03-31
332907,NORTH FORK BANK,7,0.007908,0.009949,56.728108,0.206878,2005-12-31,2007-06-30
943068,"NORTHERN TRUST BANK, NATIONAL ASSOCIATION",6,0.007807,0.010123,1.295279,0.092301,2005-03-31,2006-09-30
867632,INTERNATIONAL FINANCE BANK,53,0.007804,0.022847,0.432141,0.098484,2006-12-31,2019-12-31
1007846,FIRST MIDWEST BANK,43,0.007643,0.012511,12.953897,0.126117,2011-06-30,2021-12-31
934329,"BNY MELLON, NATIONAL ASSOCIATION",53,0.007531,0.025403,27.305168,0.150020,2008-09-30,2023-12-31
723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",52,0.007451,0.022667,207.149005,0.099985,2019-12-31,2023-12-31
229801,VALLEY NATIONAL BANK,1,0.007390,0.007390,60.943806,0.119483,2023-12-31,2023-12-31
940311,BANCO POPULAR DE PUERTO RICO,111,0.007005,0.032001,42.193694,0.075854,2005-03-31,2023-12-31
1004368,NATIONAL BANK OF ARIZONA,12,0.006863,0.008781,4.777091,0.136175,2008-03-31,2010-12-31
12311,"HUNTINGTON NATIONAL BANK, THE",209,0.006600,0.030255,151.778981,0.091253,2005-03-31,2023-12-31
577137,PACIFIC NATIONAL BANK,40,0.006408,0.030546,0.382586,0.106941,2005-03-31,2014-12-31
4114567,FIRST REPUBLIC BANK,13,0.006335,0.007603,171.905392,0.083420,2020-03-31,2023-03-31
795968,BANK OF HAWAII,110,0.006215,0.010844,18.233935,0.062935,2005-03-31,2023-12-31
1917301,LAKE FOREST BANK & TRUST COMPANY,22,0.006117,0.008408,2.756191,0.104626,2012-06-30,2017-09-30
838632,"JGB BANK, NATIONAL ASSOCIATION",21,0.006085,0.012444,0.422782,0.100603,2009-03-31,2014-06-30
714811,"CHINESE AMERICAN BANK, THE",9,0.005864,0.009521,0.352421,0.127375,2005-03-31,2007-03-31
167060,FIRST NATIONAL BANK OF NORTHERN CALIFORNIA,6,0.005849,0.007953,0.897101,0.103764,2012-09-30,2013-12-31
694904,"FLAGSTAR BANK, NATIONAL ASSOCIATION",35,0.005556,0.006746,113.351010,0.086234,2023-09-30,2023-12-31
874845,LAKE CITY BANK,11,0.005506,0.007713,1.736887,0.088613,2005-03-31,2007-12-31
3146150,U.S. CENTURY BANK,65,0.005367,0.019218,1.411034,0.089794,2007-12-31,2023-12-31
1917301,"LAKE FOREST BANK & TRUST COMPANY, NATIONAL ASSOCIATION",46,0.005231,0.010864,6.632662,0.094507,2017-12-31,2023-12-31
160614,FIDUCIARY TRUST COMPANY INTERNATIONAL,38,0.005145,0.011741,0.954378,0.367546,2005-03-31,2014-06-30
208244,OLD NATIONAL BANK,109,0.005122,0.015242,26.050382,0.110785,2005-06-30,2023-12-31
2736291,BANCO POPULAR NORTH AMERICA,32,0.005116,0.009145,11.072990,0.133772,2005-03-31,2012-12-31
165628,"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",26,0.005111,0.014716,6.673848,0.091759,2009-09-30,2015-12-31
570231,COLONIAL BANK,5,0.005048,0.006319,25.933763,0.070139,2008-06-30,2009-06-30
922728,RIGGS BANK NATIONAL ASSOCIATION,1,0.004871,0.004871,5.761004,0.072070,2005-03-31,2005-03-31
676160,FAR EAST NATIONAL BANK,51,0.004523,0.011790,1.581623,0.179167,2005-03-31,2017-09-30
613307,PEOPLE'S UNITED BANK,12,0.004401,0.005459,31.374768,0.149020,2012-03-31,2014-12-31
725732,BAC FLORIDA BANK,64,0.004237,0.015740,1.453297,0.085399,2005-03-31,2020-12-31
141556,STEARNS BANK NATIONAL ASSOCIATION,3,0.003671,0.004752,2.912794,0.190925,2023-09-30,2023-12-31
2193616,RAYMOND JAMES BANK,11,0.003380,0.029856,40.235393,0.063200,2021-06-30,2023-12-31
2860440,1ST UNITED BANK,5,0.003254,0.004013,1.286507,0.124654,2010-12-31,2011-12-31
3212149,UBS BANK USA,4,0.003182,0.003453,114.227198,0.080875,2023-03-31,2023-12-31
