quarter_end,n_reporting,sum_assets,sum_debt,sum_nav,sum_bank_debt,sum_revolving,sum_undrawn,leverage_debt_assets,leverage_debt_nav,bank_debt_share_of_total_debt
2010-03-31,24,14458.063760000005,3805.4558899999997,9666.34073,2716.84974,2641.84974,1339.193,0.2632064675581427,0.39368112466691413,0.7139354176038026
2010-06-30,24,16204.55471,4249.39778,11147.17026,2798.34954,2723.34954,2563.153,0.26223477633591824,0.3812086548321906,0.6585284985958646
2010-09-30,24,16017.95997,4739.829830000001,10663.104890000002,2989.25664,2929.25664,1696.254,0.2959072090876252,0.44450747497054766,0.6306675022550334
2010-12-31,26,17418.413220000002,5076.54726,11578.7803,2656.93883,2539.48883,2213.164,0.29144717121368185,0.43843540757051935,0.5233751788218357
2011-03-31,27,18507.395370000002,5273.99133,12621.87454,1984.5539999999999,1903.5539999999999,2108.281,0.28496669707229577,0.4178453298110504,0.376290720978489
2011-06-30,30,21439.964130000004,6267.30028,14380.701280000001,2593.5474999999997,2503.5474999999997,2327.592,0.29231859913564134,0.4358132581973777,0.4138221218275502
2011-09-30,31,22453.52148,7265.084919999999,14368.715419999999,3523.13039,3418.6293899999996,1941.7400000000002,0.32356104704873223,0.5056182621508137,0.48494001498884065
2011-12-31,32,23680.229420000003,7696.738519999999,15094.509109999999,3507.2745999999997,3390.2735999999995,1924.9669999999999,0.32502803851635986,0.5099032014827808,0.45568322100151065
2012-03-31,33,25440.7709,7611.440679999999,16891.46337,3055.0751,2928.5701,2861.9680000000003,0.2991827845908553,0.4506087195214986,0.4013793483312019
2012-06-30,33,27700.968820000002,8559.57177,17864.736979999994,3414.2836600000005,3303.2736600000003,3524.8129999999996,0.30899900381173745,0.47913225812295185,0.3988848685125284
2012-09-30,35,30557.29330000001,9805.461580000001,19501.151540000003,3992.38358,3805.8585800000005,4428.3550000000005,0.3208877659331168,0.5028144907180184,0.4071591681255662
2012-12-31,35,33205.31765,11163.18083,20919.524380000003,3681.6902200000004,3451.6046000000006,3408.404,0.33618653938701293,0.5336249824433149,0.32980655568221234
2013-03-31,36,34983.63819,11654.576540000002,22115.84068,3881.2318799999994,3636.19782,4349.648,0.3331436392265067,0.5269786805138081,0.3330221279751447
