rssd9001,quarter_end,n_loans,total_amount,mean_spread
12311,2010-03-31,8,176.4997,328.1250
12311,2010-06-30,12,233.4998,278.3333
12311,2010-09-30,9,164.7568,293.0000
12311,2010-12-31,11,292.4800,251.2500
12311,2011-03-31,11,204.3023,306.3462
12311,2011-06-30,19,474.5025,234.6774
12311,2011-09-30,7,109.4807,235.9375
12311,2011-12-31,27,515.2270,231.8243
12311,2012-03-31,20,341.2574,292.7041
12311,2012-06-30,21,514.9852,258.9773
12311,2012-09-30,15,247.2090,266.9286
12311,2012-12-31,28,312.0024,292.8409
12311,2013-03-31,15,344.9944,240.8594
12311,2013-06-30,17,296.9752,175.0000
12311,2013-09-30,18,346.6349,237.7500
12311,2013-12-31,12,163.9787,234.5676
12311,2014-03-31,4,77.9980,233.7143
12311,2014-06-30,18,319.9581,206.4516
12311,2014-09-30,15,353.4900,225.2841
12311,2014-12-31,17,291.3642,208.8021
12311,2015-03-31,4,101.5730,190.6250
12311,2015-06-30,12,211.7176,209.2308
12311,2015-09-30,9,357.9965,230.6889
12311,2015-12-31,24,510.3385,208.1452
12311,2016-03-31,10,176.8468,259.1735
12311,2016-06-30,16,370.3942,175.4841
12311,2016-09-30,4,72.5029,243.1863
12311,2016-12-31,9,163.0980,222.8175
12311,2017-03-31,4,82.4950,245.3646
12311,2017-06-30,10,212.6025,205.5385
12311,2017-09-30,3,74.9520,189.4167
12311,2017-12-31,1,59.8500,258.1321
12311,2018-03-31,1,75.0300,209.6939
12311,2018-06-30,2,95.0900,219.9423
12311,2018-09-30,3,178.0000,192.5000
12311,2018-12-31,4,187.4100,206.8581
12311,2019-03-31,6,135.0240,224.3929
12311,2019-06-30,2,25.0000,194.9123
12311,2019-09-30,0,0.0000,201.8750
12311,2019-12-31,0,0.0000,191.9565
12311,2020-03-31,1,42.9000,275.2344
12311,2020-06-30,1,50.0000,276.2821
12311,2020-09-30,1,99.9000,240.7143
12311,2020-12-31,0,0.0000,219.2391
12311,2021-03-31,3,107.5000,200.1087
12311,2021-06-30,8,348.5850,178.7676
12311,2021-09-30,5,293.5000,203.5241
12311,2021-12-31,4,113.6400,186.8889
12311,2022-03-31,5,440.1980,193.5904
12311,2022-06-30,6,254.9500,168.0435
12311,2022-09-30,2,224.9500,156.3760
12311,2022-12-31,5,515.1500,169.7607
12311,2023-03-31,2,147.0000,213.6111
12311,2023-06-30,5,107.5600,216.1296
12311,2023-09-30,5,180.2484,211.0400
12311,2023-12-31,3,109.9775,214.5759
12311,2024-03-31,1,58.3750,245.8636
12311,2024-06-30,5,547.6900,202.5481
12311,2024-09-30,21,1401.7774,203.9773
12311,2024-12-31,32,1203.9401,213.5750
12311,2025-03-31,35,1801.3215,202.9015
12311,2025-06-30,47,1558.7711,184.3382
12311,2025-09-30,39,2160.3520,210.5254
12311,2025-12-31,29,1497.9655,192.8609
35301,2010-03-31,1,24.9997,116.6667
35301,2010-06-30,6,429.9986,160.8333
35301,2010-09-30,6,241.2502,162.5000
35301,2010-12-31,4,125.0403,57.5000
35301,2011-03-31,5,127.4900,141.1111
35301,2011-06-30,5,159.6950,153.1250
35301,2011-09-30,2,69.9375,150.0000
35301,2011-12-31,10,450.3300,82.2917
35301,2012-03-31,1,100.8000,115.3889
35301,2012-06-30,7,620.3220,146.7500
35301,2012-09-30,4,313.5600,139.2000
35301,2012-12-31,10,302.2050,175.0000
35301,2013-03-31,2,140.0000,87.9167
35301,2013-06-30,3,795.2859,152.9545
35301,2013-09-30,6,255.0650,212.5000
35301,2013-12-31,3,100.3500,135.3571
35301,2014-03-31,5,207.5175,131.2500
35301,2014-06-30,7,875.3480,181.1957
35301,2014-09-30,5,195.0000,137.2727
35301,2014-12-31,6,305.1640,142.7500
35301,2015-03-31,3,100.1043,102.2941
35301,2015-06-30,2,659.8000,129.3750
35301,2015-09-30,3,394.9855,136.1364
35301,2015-12-31,6,273.7977,138.5000
35301,2016-03-31,2,42.3750,118.7500
35301,2016-06-30,7,735.0404,125.0000
35301,2016-09-30,2,105.0704,127.5000
35301,2016-12-31,4,170.0000,131.9444
35301,2017-03-31,0,0.0000,136.9231
35301,2017-06-30,3,175.5219,110.6250
35301,2017-09-30,1,160.0000,189.3750
35301,2017-12-31,0,0.0000,147.5000
35301,2018-03-31,0,0.0000,153.7500
35301,2018-06-30,1,131.2000,116.5000
35301,2018-09-30,2,175.4900,172.5000
35301,2018-12-31,1,25.0560,125.0000
35301,2019-03-31,0,0.0000,157.2727
35301,2019-06-30,0,0.0000,138.0882
35301,2019-09-30,1,19.2000,138.9286
35301,2019-12-31,4,159.8400,151.6667
35301,2020-03-31,2,50.0500,153.5417
35301,2020-06-30,0,0.0000,144.8438
35301,2020-09-30,0,0.0000,187.5000
35301,2020-12-31,1,33.1920,181.0000
35301,2021-03-31,1,135.5200,158.9583
35301,2021-06-30,1,49.9500,137.2917
35301,2021-09-30,2,215.3000,131.2500
35301,2021-12-31,0,0.0000,153.4375
35301,2022-03-31,0,0.0000,175.5333
35301,2022-06-30,0,0.0000,149.1250
35301,2022-09-30,0,0.0000,162.5000
35301,2022-12-31,1,60.0000,134.5000
35301,2023-03-31,1,156.0000,190.4167
35301,2023-06-30,1,49.9800,151.4130
35301,2023-09-30,0,0.0000,287.5000
35301,2023-12-31,1,35.0000,191.8333
35301,2024-03-31,0,0.0000,219.7368
35301,2024-06-30,0,0.0000,135.0588
35301,2024-09-30,1,165.2000,213.5938
35301,2024-12-31,0,0.0000,213.8125
35301,2025-03-31,0,0.0000,196.8056
35301,2025-06-30,1,80.0040,153.5000
35301,2025-09-30,1,25.0200,177.5000
35301,2025-12-31,1,25.0200,183.7727
60143,2010-03-31,18,481.2822,312.5000
60143,2010-06-30,41,862.4975,286.9688
60143,2010-09-30,36,729.6475,293.0380
60143,2010-12-31,49,1111.0343,245.4279
60143,2011-03-31,32,494.2242,266.2857
60143,2011-06-30,36,1083.3020,217.3737
60143,2011-09-30,18,475.0945,206.8919
60143,2011-12-31,42,942.7351,211.1737
60143,2012-03-31,34,783.9323,260.1020
60143,2012-06-30,30,516.3027,248.0747
60143,2012-09-30,16,283.0268,259.5625
60143,2012-12-31,21,473.3516,250.1373
60143,2013-03-31,22,480.2480,238.9167
60143,2013-06-30,34,523.4155,220.9737
60143,2013-09-30,32,670.7675,213.1905
60143,2013-12-31,19,307.0874,242.8738
60143,2014-03-31,21,427.9413,233.8563
60143,2014-06-30,21,509.1814,233.0208
60143,2014-09-30,18,402.5734,227.7604
60143,2014-12-31,29,654.1310,236.2798
60143,2015-03-31,15,390.9637,231.1949
60143,2015-06-30,22,393.8649,226.3235
60143,2015-09-30,15,441.6182,246.7432
60143,2015-12-31,17,332.8130,241.8750
60143,2016-03-31,15,200.7798,268.0833
60143,2016-06-30,18,539.6985,207.1429
60143,2016-09-30,11,344.2084,269.2606
60143,2016-12-31,11,240.1031,259.0407
60143,2017-03-31,5,109.9200,228.4146
60143,2017-06-30,4,140.7218,216.0000
60143,2017-09-30,2,74.9565,235.3659
60143,2017-12-31,0,0.0000,245.6180
60143,2018-03-31,1,50.0000,217.2449
60143,2018-06-30,3,76.9625,220.4565
60143,2018-09-30,3,125.2000,209.7656
60143,2018-12-31,3,134.8800,214.1103
60143,2019-03-31,3,44.9813,185.1351
60143,2019-06-30,4,40.8000,187.4740
60143,2019-09-30,5,92.5350,225.3846
60143,2019-12-31,3,129.9610,211.2234
60143,2020-03-31,4,88.7617,205.0152
60143,2020-06-30,0,0.0000,217.2483
60143,2020-09-30,2,164.9250,222.7976
60143,2020-12-31,1,47.8500,260.8854
60143,2021-03-31,7,195.1950,226.4167
60143,2021-06-30,5,293.4500,202.0283
60143,2021-09-30,2,42.4875,186.5254
60143,2021-12-31,3,160.4000,212.9444
60143,2022-03-31,6,281.6800,184.0426
60143,2022-06-30,4,166.8950,206.7697
60143,2022-09-30,2,212.4500,175.8203
60143,2022-12-31,4,80.0000,217.0000
60143,2023-03-31,4,154.8610,233.7500
60143,2023-06-30,2,37.5140,248.1716
60143,2023-09-30,1,108.2000,339.4953
60143,2023-12-31,4,145.1450,295.4483
60143,2024-03-31,8,291.9400,298.9214
60143,2024-06-30,1,40.0400,273.1928
60143,2024-09-30,9,361.3400,258.3821
60143,2024-12-31,17,359.8080,255.4710
60143,2025-03-31,7,132.6590,239.3561
60143,2025-06-30,17,556.2750,221.3441
60143,2025-09-30,11,253.6405,247.8354
60143,2025-12-31,11,366.7550,234.9725
64619,2010-06-30,0,0.0000,200.0000
64619,2011-03-31,1,10.0000,455.0000
64619,2014-09-30,0,0.0000,275.0000
64619,2015-09-30,0,0.0000,
64619,2015-12-31,0,0.0000,200.0000
64619,2016-06-30,0,0.0000,250.0000
64619,2016-09-30,0,0.0000,200.0000
64619,2016-12-31,0,0.0000,395.0000
64619,2017-03-31,0,0.0000,
64619,2017-06-30,0,0.0000,250.0000
64619,2017-09-30,0,0.0000,425.0000
64619,2017-12-31,0,0.0000,250.0000
64619,2018-03-31,0,0.0000,375.0000
64619,2018-06-30,0,0.0000,
64619,2018-09-30,0,0.0000,
64619,2018-12-31,0,0.0000,350.0000
64619,2019-03-31,0,0.0000,
64619,2019-06-30,0,0.0000,300.0000
64619,2019-12-31,0,0.0000,425.0000
64619,2020-03-31,0,0.0000,250.0000
64619,2020-06-30,0,0.0000,300.0000
64619,2020-09-30,0,0.0000,300.0000
64619,2020-12-31,0,0.0000,300.0000
64619,2021-03-31,0,0.0000,283.3333
64619,2021-06-30,0,0.0000,299.1667
64619,2021-09-30,0,0.0000,223.3333
