rssd9001,quarter_end,role_group,n_loans,total_amount,mean_spread
12311,2010-03-31,Participant,8,176.4997,328.1250
12311,2010-06-30,Lead/Arranger-type,1,40.0001,280.0000
12311,2010-06-30,Participant,11,193.4997,277.5000
12311,2010-09-30,Lead/Arranger-type,2,21.0000,408.3333
12311,2010-09-30,Participant,7,143.7568,277.2727
12311,2010-12-31,Lead/Arranger-type,1,45.0000,
12311,2010-12-31,Participant,10,247.4800,251.2500
12311,2011-03-31,Lead/Arranger-type,2,60.0000,355.0000
12311,2011-03-31,Participant,9,144.3023,291.7500
12311,2011-06-30,Lead/Arranger-type,2,80.0000,258.3333
12311,2011-06-30,Participant,17,394.5025,232.1429
12311,2011-09-30,Lead/Arranger-type,0,0.0000,102.5000
12311,2011-09-30,Participant,7,109.4807,248.0682
12311,2011-12-31,Lead/Arranger-type,3,55.5000,290.0000
12311,2011-12-31,Participant,24,459.7270,222.7344
12311,2012-03-31,Lead/Arranger-type,3,43.4980,393.7500
12311,2012-03-31,Participant,17,297.7594,272.9878
12311,2012-06-30,Lead/Arranger-type,3,65.0015,280.6818
12311,2012-06-30,Participant,18,449.9837,251.7424
12311,2012-09-30,Lead/Arranger-type,2,38.2175,390.6250
12311,2012-09-30,Participant,13,208.9915,230.2778
12311,2012-12-31,Lead/Arranger-type,5,55.4499,375.0000
12311,2012-12-31,Participant,23,256.5525,279.8684
12311,2013-03-31,Lead/Arranger-type,1,30.0000,251.0000
12311,2013-03-31,Participant,14,314.9944,238.9815
12311,2013-06-30,Lead/Arranger-type,1,27.4960,237.5000
12311,2013-06-30,Participant,16,269.4792,150.0000
12311,2013-09-30,Lead/Arranger-type,2,45.0005,292.7083
12311,2013-09-30,Participant,16,301.6344,220.3947
12311,2013-12-31,Lead/Arranger-type,1,25.0050,276.6667
12311,2013-12-31,Participant,11,138.9736,230.8529
12311,2014-03-31,Lead/Arranger-type,0,0.0000,190.0000
12311,2014-03-31,Participant,4,77.9980,237.8125
12311,2014-06-30,Lead/Arranger-type,3,39.9985,245.8333
12311,2014-06-30,Participant,15,279.9596,197.0000
12311,2014-09-30,Lead/Arranger-type,2,85.0000,275.0000
12311,2014-09-30,Participant,13,268.4900,214.2361
12311,2014-12-31,Lead/Arranger-type,0,0.0000,262.5000
12311,2014-12-31,Participant,17,291.3642,206.4674
12311,2015-03-31,Lead/Arranger-type,0,0.0000,197.5000
12311,2015-03-31,Participant,4,101.5730,189.4792
12311,2015-06-30,Lead/Arranger-type,0,0.0000,277.2727
12311,2015-06-30,Participant,12,211.7176,198.0597
12311,2015-09-30,Lead/Arranger-type,1,35.0000,268.1818
12311,2015-09-30,Participant,8,322.9965,218.5588
12311,2015-12-31,Lead/Arranger-type,0,0.0000,233.1818
12311,2015-12-31,Participant,24,510.3385,202.7451
12311,2016-03-31,Lead/Arranger-type,0,0.0000,277.0000
12311,2016-03-31,Participant,10,176.8468,257.1477
12311,2016-06-30,Lead/Arranger-type,5,107.8590,187.8571
12311,2016-06-30,Participant,11,262.5352,173.9375
12311,2016-09-30,Lead/Arranger-type,0,0.0000,317.8571
12311,2016-09-30,Participant,4,72.5029,231.3068
12311,2016-12-31,Lead/Arranger-type,0,0.0000,277.5000
12311,2016-12-31,Participant,9,163.0980,200.9444
12311,2017-03-31,Lead/Arranger-type,1,45.0000,378.4615
12311,2017-03-31,Participant,3,37.4950,195.9286
12311,2017-06-30,Lead/Arranger-type,2,45.0075,225.9091
12311,2017-06-30,Participant,8,167.5950,201.3889
12311,2017-09-30,Lead/Arranger-type,0,0.0000,258.0000
12311,2017-09-30,Participant,3,74.9520,175.7000
12311,2017-12-31,Lead/Arranger-type,0,0.0000,309.6429
12311,2017-12-31,Participant,1,59.8500,239.6410
12311,2018-03-31,Lead/Arranger-type,0,0.0000,224.5000
12311,2018-03-31,Participant,1,75.0300,205.8974
12311,2018-06-30,Lead/Arranger-type,0,0.0000,261.6667
12311,2018-06-30,Participant,2,95.0900,193.8646
12311,2018-09-30,Lead/Arranger-type,0,0.0000,225.0000
12311,2018-09-30,Participant,3,178.0000,190.6604
12311,2018-12-31,Lead/Arranger-type,1,72.4900,295.2381
12311,2018-12-31,Participant,3,114.9200,171.8396
12311,2019-03-31,Lead/Arranger-type,0,0.0000,284.2308
12311,2019-03-31,Participant,6,135.0240,210.7456
12311,2019-06-30,Lead/Arranger-type,0,0.0000,247.3529
12311,2019-06-30,Participant,2,25.0000,172.6250
12311,2019-09-30,Lead/Arranger-type,0,0.0000,222.1739
12311,2019-09-30,Participant,0,0.0000,193.0660
12311,2019-12-31,Lead/Arranger-type,0,0.0000,273.0000
12311,2019-12-31,Participant,0,0.0000,152.7419
12311,2020-03-31,Lead/Arranger-type,0,0.0000,329.8684
12311,2020-03-31,Participant,1,42.9000,195.3846
12311,2020-06-30,Lead/Arranger-type,0,0.0000,359.0625
12311,2020-06-30,Participant,1,50.0000,254.9194
12311,2020-09-30,Lead/Arranger-type,0,0.0000,256.6667
12311,2020-09-30,Participant,1,99.9000,238.8000
12311,2020-12-31,Lead/Arranger-type,0,0.0000,243.7500
12311,2020-12-31,Participant,0,0.0000,200.3846
12311,2021-03-31,Lead/Arranger-type,0,0.0000,218.8235
12311,2021-03-31,Participant,3,107.5000,189.1379
12311,2021-06-30,Lead/Arranger-type,4,158.4950,184.5968
12311,2021-06-30,Participant,4,190.0900,174.2500
12311,2021-09-30,Lead/Arranger-type,1,57.3500,217.1667
12311,2021-09-30,Participant,4,236.1500,195.8019
12311,2021-12-31,Lead/Arranger-type,0,0.0000,243.2000
12311,2021-12-31,Participant,4,113.6400,165.2308
12311,2022-03-31,Lead/Arranger-type,2,100.0180,210.1250
12311,2022-03-31,Participant,3,340.1800,181.3426
12311,2022-06-30,Lead/Arranger-type,3,79.9600,156.5132
12311,2022-06-30,Participant,3,174.9900,173.7338
12311,2022-09-30,Lead/Arranger-type,0,0.0000,153.2843
12311,2022-09-30,Participant,2,224.9500,158.5660
12311,2022-12-31,Lead/Arranger-type,2,310.1750,190.3125
12311,2022-12-31,Participant,3,204.9750,152.4539
12311,2023-03-31,Lead/Arranger-type,2,147.0000,253.0172
12311,2023-03-31,Participant,0,0.0000,191.6346
12311,2023-06-30,Lead/Arranger-type,2,75.0950,187.3095
12311,2023-06-30,Participant,3,32.4650,234.4697
12311,2023-09-30,Lead/Arranger-type,4,155.4900,176.5625
12311,2023-09-30,Participant,1,24.7584,250.4429
12311,2023-12-31,Lead/Arranger-type,0,0.0000,175.0000
12311,2023-12-31,Participant,3,109.9775,223.8383
12311,2024-03-31,Lead/Arranger-type,0,0.0000,253.4000
12311,2024-03-31,Participant,1,58.3750,239.5833
12311,2024-06-30,Lead/Arranger-type,2,369.9300,247.2297
12311,2024-06-30,Participant,3,177.7600,177.8731
12311,2024-09-30,Lead/Arranger-type,12,805.9475,212.7059
12311,2024-09-30,Participant,9,595.8299,191.9459
12311,2024-12-31,Lead/Arranger-type,18,743.7721,221.0169
12311,2024-12-31,Participant,14,460.1680,206.3770
12311,2025-03-31,Lead/Arranger-type,22,1120.6655,215.5618
12311,2025-03-31,Participant,13,680.6560,179.4271
12311,2025-06-30,Lead/Arranger-type,11,500.0182,201.3362
12311,2025-06-30,Participant,36,1058.7529,171.6987
12311,2025-09-30,Lead/Arranger-type,28,1536.2820,216.0870
12311,2025-09-30,Participant,11,624.0700,199.4022
12311,2025-12-31,Lead/Arranger-type,13,649.0065,203.9604
12311,2025-12-31,Participant,16,848.9590,176.3750
35301,2010-03-31,Lead/Arranger-type,0,0.0000,150.0000
35301,2010-03-31,Participant,1,24.9997,100.0000
35301,2010-06-30,Lead/Arranger-type,0,0.0000,37.5000
35301,2010-06-30,Participant,6,429.9986,185.5000
35301,2010-09-30,Participant,6,241.2502,162.5000
35301,2010-12-31,Participant,4,125.0403,57.5000
35301,2011-03-31,Lead/Arranger-type,0,0.0000,120.0000
35301,2011-03-31,Participant,5,127.4900,143.7500
35301,2011-06-30,Lead/Arranger-type,0,0.0000,137.5000
35301,2011-06-30,Participant,5,159.6950,158.3333
35301,2011-09-30,Participant,2,69.9375,150.0000
35301,2011-12-31,Lead/Arranger-type,0,0.0000,75.0000
35301,2011-12-31,Participant,10,450.3300,82.9545
35301,2012-03-31,Lead/Arranger-type,0,0.0000,97.5000
35301,2012-03-31,Participant,1,100.8000,120.5000
35301,2012-06-30,Lead/Arranger-type,2,115.0000,133.3333
35301,2012-06-30,Participant,5,505.3220,152.5000
35301,2012-09-30,Lead/Arranger-type,1,250.0000,80.0000
35301,2012-09-30,Participant,3,63.5600,145.7778
35301,2012-12-31,Lead/Arranger-type,0,0.0000,175.0000
35301,2012-12-31,Participant,10,302.2050,175.0000
35301,2013-03-31,Lead/Arranger-type,1,125.0000,90.0000
35301,2013-03-31,Participant,1,15.0000,86.8750
35301,2013-06-30,Lead/Arranger-type,1,700.3459,116.6667
35301,2013-06-30,Participant,2,94.9400,166.5625
35301,2013-09-30,Lead/Arranger-type,0,0.0000,250.0000
35301,2013-09-30,Participant,6,255.0650,207.1429
35301,2013-12-31,Lead/Arranger-type,0,0.0000,175.0000
35301,2013-12-31,Participant,3,100.3500,128.7500
35301,2014-03-31,Lead/Arranger-type,1,92.4750,106.0000
35301,2014-03-31,Participant,4,115.0425,140.9615
35301,2014-06-30,Lead/Arranger-type,2,700.6440,126.6667
35301,2014-06-30,Participant,5,174.7040,189.3750
35301,2014-09-30,Lead/Arranger-type,0,0.0000,300.0000
35301,2014-09-30,Participant,5,195.0000,121.0000
35301,2014-12-31,Lead/Arranger-type,0,0.0000,
35301,2014-12-31,Participant,6,305.1640,142.7500
35301,2015-03-31,Lead/Arranger-type,0,0.0000,175.0000
35301,2015-03-31,Participant,3,100.1043,92.6000
35301,2015-06-30,Lead/Arranger-type,0,0.0000,96.6667
35301,2015-06-30,Participant,2,659.8000,140.2778
35301,2015-09-30,Lead/Arranger-type,1,292.4910,105.8333
35301,2015-09-30,Participant,2,102.4945,172.5000
35301,2015-12-31,Participant,6,273.7977,138.5000
35301,2016-03-31,Lead/Arranger-type,0,0.0000,
35301,2016-03-31,Participant,2,42.3750,118.7500
35301,2016-06-30,Lead/Arranger-type,0,0.0000,90.0000
35301,2016-06-30,Participant,7,735.0404,137.5000
35301,2016-09-30,Lead/Arranger-type,2,105.0704,136.6667
35301,2016-09-30,Participant,0,0.0000,100.0000
35301,2016-12-31,Lead/Arranger-type,0,0.0000,100.0000
35301,2016-12-31,Participant,4,170.0000,135.9375
35301,2017-03-31,Lead/Arranger-type,0,0.0000,122.0000
35301,2017-03-31,Participant,0,0.0000,146.2500
35301,2017-06-30,Lead/Arranger-type,0,0.0000,87.5000
35301,2017-06-30,Participant,3,175.5219,122.1875
35301,2017-09-30,Lead/Arranger-type,0,0.0000,100.0000
35301,2017-09-30,Participant,1,160.0000,207.2500
35301,2017-12-31,Lead/Arranger-type,0,0.0000,112.5000
35301,2017-12-31,Participant,0,0.0000,165.0000
35301,2018-03-31,Lead/Arranger-type,0,0.0000,100.0000
35301,2018-03-31,Participant,0,0.0000,171.6667
35301,2018-06-30,Lead/Arranger-type,0,0.0000,90.0000
35301,2018-06-30,Participant,1,131.2000,129.7500
35301,2018-09-30,Lead/Arranger-type,1,75.0400,104.1667
35301,2018-09-30,Participant,1,100.4500,275.0000
35301,2018-12-31,Lead/Arranger-type,0,0.0000,100.0000
35301,2018-12-31,Participant,1,25.0560,129.1667
35301,2019-03-31,Lead/Arranger-type,0,0.0000,100.0000
35301,2019-03-31,Participant,0,0.0000,178.7500
35301,2019-06-30,Lead/Arranger-type,0,0.0000,120.0000
35301,2019-06-30,Participant,0,0.0000,163.9286
35301,2019-09-30,Lead/Arranger-type,0,0.0000,100.0000
35301,2019-09-30,Participant,1,19.2000,145.4167
35301,2019-12-31,Lead/Arranger-type,0,0.0000,100.0000
35301,2019-12-31,Participant,4,159.8400,158.1250
35301,2020-03-31,Lead/Arranger-type,0,0.0000,105.0000
35301,2020-03-31,Participant,2,50.0500,169.7222
35301,2020-06-30,Lead/Arranger-type,0,0.0000,140.4167
35301,2020-06-30,Participant,0,0.0000,158.1250
35301,2020-09-30,Lead/Arranger-type,0,0.0000,166.6667
35301,2020-09-30,Participant,0,0.0000,208.3333
35301,2020-12-31,Lead/Arranger-type,0,0.0000,211.6667
35301,2020-12-31,Participant,1,33.1920,167.8571
35301,2021-03-31,Lead/Arranger-type,0,0.0000,105.0000
35301,2021-03-31,Participant,1,135.5200,176.9444
35301,2021-06-30,Lead/Arranger-type,0,0.0000,114.7222
35301,2021-06-30,Participant,1,49.9500,150.8333
35301,2021-09-30,Participant,2,215.3000,131.2500
35301,2021-12-31,Lead/Arranger-type,0,0.0000,87.5000
35301,2021-12-31,Participant,0,0.0000,162.8571
35301,2022-03-31,Lead/Arranger-type,0,0.0000,106.0000
35301,2022-03-31,Participant,0,0.0000,210.3000
35301,2022-06-30,Lead/Arranger-type,0,0.0000,154.2500
35301,2022-06-30,Participant,0,0.0000,144.0000
35301,2022-09-30,Lead/Arranger-type,0,0.0000,257.5000
35301,2022-09-30,Participant,0,0.0000,115.0000
35301,2022-12-31,Lead/Arranger-type,0,0.0000,200.0000
35301,2022-12-31,Participant,1,60.0000,118.1250
35301,2023-03-31,Lead/Arranger-type,0,0.0000,116.4286
35301,2023-03-31,Participant,1,156.0000,237.5000
35301,2023-06-30,Lead/Arranger-type,0,0.0000,132.9167
35301,2023-06-30,Participant,1,49.9800,157.9412
35301,2023-09-30,Lead/Arranger-type,0,0.0000,200.0000
35301,2023-09-30,Participant,0,0.0000,375.0000
35301,2023-12-31,Lead/Arranger-type,0,0.0000,231.6667
35301,2023-12-31,Participant,1,35.0000,171.9167
35301,2024-03-31,Lead/Arranger-type,0,0.0000,118.3333
35301,2024-03-31,Participant,0,0.0000,266.5385
