dealscan_name,dealscan_parent_id,candidate_rssd9001,candidate_bank_name,score,confirmed_rssd9001
1st Century Bank NA,58752.0,3146150,U.S. CENTURY BANK,77.41935483870968,
1st Century Bank NA,58752.0,783648,CENTIER BANK,71.42857142857143,
1st Century Bank NA,58752.0,2860440,1ST UNITED BANK,70.96774193548387,
1st Source Bank,54409.0,2860440,1ST UNITED BANK,73.33333333333334,
1st Source Bank,54409.0,817833,SOUTHTRUST BANK,60.0,
1st United Bank,109359.0,2860440,1ST UNITED BANK,100.0,
1st United Bank,109359.0,613307,PEOPLE'S UNITED BANK,62.857142857142854,
1st United Bank,109359.0,538802,INTERAUDI BANK,62.06896551724138,
ACE Financial Solutions Inc,73433.0,526452,1ST FINANCIAL BANK USA,62.22222222222222,
ACTIAM-FMO SME Finance Fund,141715.0,827560,"FINANCE FACTORS, LIMITED",60.0,
AG Star Financial Services PCA,125285.0,2700984,WRIGHT EXPRESS FINANCIAL SERVICES CORPORATION,66.66666666666667,
AIG Capital Corp,58699.0,2253891,CAPITAL ONE BANK,66.66666666666667,
AIG Capital Corp,58699.0,637451,PLAINSCAPITAL BANK,62.06896551724138,
ALJ Capital,106156.0,2253891,CAPITAL ONE BANK,66.66666666666667,
ALJ Capital,106156.0,637451,PLAINSCAPITAL BANK,62.06896551724138,
AQR Capital LLC,60789.0,2253891,CAPITAL ONE BANK,66.66666666666667,
AQR Capital LLC,60789.0,637451,PLAINSCAPITAL BANK,62.06896551724138,
ATEL Financial Corp,72097.0,163473,CITIZENS FINANCIAL BANK,70.27027027027026,
ATEL Financial Corp,72097.0,526452,1ST FINANCIAL BANK USA,61.111111111111114,
Academy Bank NA,115452.0,810900,"ASIA BANK, N.A.",66.66666666666667,
Academy Bank NA,115452.0,3284070,ALLY BANK,66.66666666666667,
Academy Bank NA,115452.0,311845,ARVEST BANK,60.86956521739131,
Acore Capital LP,182444.0,2253891,CAPITAL ONE BANK,62.06896551724138,
Acore Capital Mortgage LP,170003.0,2253891,CAPITAL ONE BANK,63.1578947368421,
Adelphi Bank,175991.0,810900,"ASIA BANK, N.A.",66.66666666666667,
Adelphi Bank,175991.0,3284070,ALLY BANK,66.66666666666667,
Adelphi Bank,175991.0,311845,ARVEST BANK,60.86956521739131,
Adirondack Bank,108167.0,810900,"ASIA BANK, N.A.",66.66666666666667,
Aequum Capital Financial LLC,171194.0,163473,CITIZENS FINANCIAL BANK,63.829787234042556,
Aereal Bank,125117.0,311845,ARVEST BANK,72.72727272727273,
Aereal Bank,125117.0,810900,"ASIA BANK, N.A.",70.0,
Aereal Bank,125117.0,3284070,ALLY BANK,70.0,
Aetna Financial Services,78430.0,2700984,WRIGHT EXPRESS FINANCIAL SERVICES CORPORATION,70.17543859649122,
