model,h,coef,se,pval,ci_lo,ci_hi,n,banks,stars,cov_note
A,0,-0.049283,0.057564,0.391953,-0.162127,0.063562,6548,170,,
B,0,-0.044528,0.055041,0.418549,-0.152426,0.063371,6548,170,,
C,0,-0.047744,0.053763,0.374550,-0.153137,0.057649,6548,170,,
D,0,-0.079600,0.060628,0.189262,-0.198452,0.039253,6548,170,,
A,1,0.095244,0.153565,0.535138,-0.205799,0.396286,6274,170,,
B,1,0.100102,0.147439,0.497204,-0.188931,0.389135,6274,170,,
C,1,0.087897,0.140495,0.531585,-0.187523,0.363316,6274,170,,
D,1,0.082181,0.111625,0.461624,-0.136644,0.301006,6274,170,,
A,2,-0.157872,0.184241,0.391546,-0.519053,0.203308,6078,162,,
B,2,-0.149401,0.179815,0.406086,-0.501904,0.203102,6078,162,,
C,2,-0.168761,0.162707,0.299680,-0.487727,0.150205,6078,162,,
D,2,-0.044569,0.209413,0.831470,-0.455097,0.365959,6078,162,,
A,3,-0.035718,0.075677,0.636962,-0.184073,0.112638,5940,161,,
B,3,-0.040882,0.072139,0.570929,-0.182302,0.100537,5940,161,,
C,3,-0.054079,0.066235,0.414260,-0.183925,0.075766,5940,161,,
D,3,0.062741,0.146158,0.667745,-0.223785,0.349267,5940,161,,
A,4,-0.001546,0.144190,0.991445,-0.284214,0.281122,5779,157,,"FALLBACK: one-way (bank) clustered SE used -- two-way clustered covariance was NaN at this horizon (n_bank_clusters=157, n_time_clusters=80)"
B,4,0.038603,0.136300,0.777017,-0.228597,0.305803,5779,157,,"FALLBACK: one-way (bank) clustered SE used -- two-way clustered covariance was deflated (two-way SE=0.0157 is <20% of one-way SE=0.1363 -- likely degenerate covariance, not genuine precision) at this horizon (n_bank_clusters=157, n_time_clusters=80)"
C,4,-0.020977,0.118957,0.860034,-0.254179,0.212225,5779,157,,"FALLBACK: one-way (bank) clustered SE used -- two-way clustered covariance was NaN at this horizon (n_bank_clusters=157, n_time_clusters=80)"
D,4,0.096457,0.180380,0.592849,-0.257159,0.450073,5779,157,,
A,5,0.013857,0.057204,0.808599,-0.098285,0.125999,5619,150,,
B,5,0.052806,0.083898,0.529108,-0.111667,0.217279,5619,150,,
C,5,-0.011007,0.091198,0.903935,-0.189792,0.167777,5619,150,,"FALLBACK: one-way (bank) clustered SE used -- two-way clustered covariance was NaN at this horizon (n_bank_clusters=150, n_time_clusters=79)"
D,5,0.204965,0.146810,0.162734,-0.082842,0.492772,5619,150,,
A,6,0.072562,0.233593,0.756092,-0.385378,0.530502,5465,144,,
B,6,0.150777,0.256289,0.556350,-0.351655,0.653209,5465,144,,
C,6,0.033944,0.186308,0.855440,-0.331298,0.399185,5465,144,,
D,6,0.277899,0.235191,0.237422,-0.183173,0.738970,5465,144,,
A,7,0.184304,0.240696,0.443883,-0.287563,0.656171,5322,140,,
B,7,0.287509,0.262084,0.272687,-0.226286,0.801304,5322,140,,
C,7,0.138988,0.186656,0.456534,-0.226938,0.504915,5322,140,,
D,7,0.458452,0.249626,0.066333,-0.030921,0.947825,5322,140,*,
A,8,0.103671,0.254118,0.683316,-0.394511,0.601854,5188,138,,
B,8,0.240193,0.278067,0.387740,-0.304938,0.785325,5188,138,,
C,8,0.072487,0.215414,0.736506,-0.349819,0.494793,5188,138,,
D,8,0.538407,0.273577,0.049120,0.002075,1.074739,5188,138,**,
