component,tau,coef,se,pval,ci_lo,ci_hi,stars
L_middle,0.100000,-0.181047,0.055691,0.001150,-0.220272,-0.038422,***
L_middle,0.250000,-0.086346,0.037878,0.022632,-0.131390,-0.007360,**
L_middle,0.500000,-0.015257,0.025339,0.547106,-0.055173,0.025978,
L_middle,0.750000,0.042197,0.028710,0.141628,0.004810,0.111217,
L_middle,0.900000,0.138530,0.082610,0.093558,0.021163,0.289734,*
L_guarantees,0.100000,0.348426,0.234882,0.137967,-0.038629,0.877506,
L_guarantees,0.250000,0.197600,0.142922,0.166796,-0.070987,0.474457,
L_guarantees,0.500000,0.018418,0.125496,0.883319,-0.139222,0.362812,
L_guarantees,0.750000,-0.049799,0.163296,0.760394,-0.252691,0.379098,
L_guarantees,0.900000,-0.298940,0.277863,0.281993,-0.724479,0.353392,
L_securities,0.100000,-0.190823,0.051697,0.000223,-0.238149,-0.056332,***
L_securities,0.250000,-0.089690,0.038540,0.019956,-0.151319,-0.027031,**
L_securities,0.500000,-0.016024,0.030933,0.604443,-0.063568,0.020910,
L_securities,0.750000,0.043176,0.039217,0.270914,0.007682,0.124606,
L_securities,0.900000,0.152087,0.087461,0.082049,0.025987,0.302414,*
L_lines,0.100000,-1.352609,0.598726,0.023874,-2.590995,-0.258727,**
L_lines,0.250000,-0.929152,0.300045,0.001957,-1.597874,-0.445212,***
L_lines,0.500000,-0.503816,0.236323,0.033016,-1.014263,-0.114281,**
L_lines,0.750000,-0.271209,0.375757,0.470439,-1.125055,0.340216,
L_lines,0.900000,0.044867,0.566311,0.936853,-1.174851,0.893139,
