model,variable,tau,coef,se,tstat,pval,ci_lo,ci_hi,stars,pseudo_r2
B,const,0.100000,-0.657688,0.103804,-6.335890,0.000000,-0.876629,-0.457372,***,0.097743
B,const,0.250000,-0.267738,0.044341,-6.038211,0.000000,-0.374484,-0.195602,***,0.070828
B,const,0.500000,0.028800,0.032758,0.879195,0.379295,-0.032008,0.091020,,0.045244
B,const,0.750000,0.285530,0.045683,6.250272,0.000000,0.191161,0.373741,***,0.046313
B,const,0.900000,0.603318,0.090760,6.647412,0.000000,0.430403,0.762615,***,0.080970
B,nfci,0.100000,-0.079292,0.015249,-5.199778,0.000000,-0.108306,-0.055393,***,0.097743
B,nfci,0.250000,-0.072650,0.005980,-12.148290,0.000000,-0.083468,-0.060368,***,0.070828
B,nfci,0.500000,-0.065829,0.004246,-15.503489,0.000000,-0.073287,-0.058317,***,0.045244
B,nfci,0.750000,-0.064330,0.005899,-10.905969,0.000000,-0.073533,-0.052082,***,0.046313
B,nfci,0.900000,-0.064131,0.009280,-6.910731,0.000000,-0.081718,-0.046358,***,0.080970
B,L_it,0.100000,-0.198162,0.044365,-4.466618,0.000008,-0.250035,-0.079745,***,0.097743
B,L_it,0.250000,-0.099121,0.031474,-3.149276,0.001637,-0.178051,-0.043524,***,0.070828
B,L_it,0.500000,-0.018320,0.023134,-0.791936,0.428398,-0.078190,0.015656,,0.045244
B,L_it,0.750000,0.038178,0.021572,1.769818,0.076757,-0.007856,0.076374,*,0.046313
B,L_it,0.900000,0.139410,0.076418,1.824302,0.068106,0.023984,0.288366,*,0.080970
B,capital_ratio,0.100000,-0.335276,0.284587,-1.178117,0.238750,-0.882548,0.248335,,0.097743
B,capital_ratio,0.250000,-0.050564,0.168207,-0.300609,0.763713,-0.311927,0.310813,,0.070828
B,capital_ratio,0.500000,0.130656,0.109826,1.189660,0.234180,-0.083812,0.333398,,0.045244
B,capital_ratio,0.750000,0.329529,0.143784,2.291841,0.021915,0.073609,0.600878,**,0.046313
B,capital_ratio,0.900000,0.590772,0.282265,2.092970,0.036352,0.258006,1.340549,**,0.080970
B,log_assets,0.100000,0.031365,0.004915,6.381188,0.000000,0.021259,0.040755,***,0.097743
B,log_assets,0.250000,0.012348,0.002234,5.525922,0.000000,0.008361,0.017388,***,0.070828
B,log_assets,0.500000,-0.001653,0.001732,-0.954157,0.340004,-0.005019,0.001707,,0.045244
B,log_assets,0.750000,-0.013745,0.002445,-5.621908,0.000000,-0.018386,-0.008955,***,0.046313
B,log_assets,0.900000,-0.028498,0.004879,-5.840735,0.000000,-0.038065,-0.019849,***,0.080970
B,ci_loan_growth,0.100000,0.044734,0.028954,1.544973,0.122353,0.009224,0.112386,,0.097743
B,ci_loan_growth,0.250000,0.059823,0.038931,1.536624,0.124385,0.021067,0.166127,,0.070828
B,ci_loan_growth,0.500000,0.147155,0.051376,2.864261,0.004180,0.055426,0.259868,***,0.045244
B,ci_loan_growth,0.750000,0.227217,0.064612,3.516661,0.000437,0.102617,0.311874,***,0.046313
B,ci_loan_growth,0.900000,0.256872,0.053217,4.826856,0.000001,0.105093,0.298402,***,0.080970
A,const,0.100000,-0.602337,0.116883,-5.153313,0.000000,-0.849910,-0.386637,***,0.062700
A,const,0.250000,-0.245755,0.041443,-5.929894,0.000000,-0.341669,-0.176073,***,0.061050
A,const,0.500000,0.034922,0.032705,1.067773,0.285623,-0.031504,0.097393,,0.044735
A,const,0.750000,0.266727,0.047560,5.608192,0.000000,0.180376,0.367525,***,0.044133
A,const,0.900000,0.560614,0.087197,6.429254,0.000000,0.395808,0.718086,***,0.068630
A,nfci,0.100000,-0.085969,0.017023,-5.050077,0.000000,-0.118119,-0.053142,***,0.062700
A,nfci,0.250000,-0.072206,0.006456,-11.185000,0.000000,-0.084896,-0.059600,***,0.061050
A,nfci,0.500000,-0.065792,0.004375,-15.036941,0.000000,-0.073099,-0.057600,***,0.044735
