Variable,N,Mean,Std,p1,p25,Median,p75,p99
L_it  (main index),9351,0.103762,0.318731,0.000000,0.002980,0.015912,0.045732,2.153090
L_it  (SLCs + sec. lending only),9351,0.099041,0.317550,0.000000,0.002640,0.012261,0.042700,2.146413
L_it  (financial SLCs only),9351,0.020343,0.026438,0.000000,0.002175,0.010498,0.029883,0.158634
L_it  (securities lending only),9351,0.078704,0.316450,0.000000,0.000000,0.000000,0.000000,2.126875
"L_it  (credit lines to FIs, post-2010)",9351,0.004358,0.013342,0.000000,0.000000,0.000000,0.000000,0.090562
Financial standby LCs  ($bn),9351,12.417199,30.126648,0.000000,0.006810,0.360870,4.091577,114.742750
Securities lent w/ cash coll.  ($bn),9351,26.941957,91.682475,0.000000,0.000000,0.000000,0.000000,487.603000
Unused commitments to FIs  ($bn),9351,1.103671,4.889160,0.000000,0.000000,0.000000,0.000000,37.441000
Total assets  ($bn),9351,342.497575,735.199590,0.351998,5.244376,37.979071,194.721789,3395.126000
Equity capital  ($bn),9351,32.897449,68.005130,0.034744,0.613698,3.948600,21.191000,299.279000
Capital ratio  (equity/assets),9351,0.117225,0.081573,0.049139,0.087315,0.098622,0.121267,0.723538
Log total assets,9351,17.365891,2.505167,12.771381,15.472666,17.452546,19.087082,21.945607
C&I loan growth  (QoQ),8760,0.019863,0.185989,-0.268366,-0.010108,0.000000,0.032265,0.538227
NFCI  (financial conditions index),9351,-0.262140,0.553239,-0.772077,-0.566769,-0.319308,-0.203077,2.767923
NFCI credit sub-index,9351,0.117957,0.445877,-0.404000,-0.109154,0.081538,0.185769,2.475615
10-year Treasury yield  (%),9351,3.182078,1.054550,0.687619,2.275968,3.457419,4.149683,5.072698
Federal funds rate  (%),9351,2.294242,2.131103,0.070000,0.143333,1.940000,4.516667,5.330000
Term spread  (DGS10 - FEDFUNDS),9351,0.887836,1.430426,-1.394286,-0.403906,1.000476,1.973388,3.584536
